id,time,xloc_kf,yloc_kf,lane_kf,speed_kf,acceleration_kf,length_smoothed,width_smoothed,type_most_common,av,run_index,travelled_distance
57,8.2,378.572421,211.69428,2,4.71776,1.13,5.39,2.67,small-vehicle,no,1,197.474252
57,8.3,378.854712,212.072279,2,4.83059,-0.15,5.39,2.67,small-vehicle,no,1,197.9460268
57,8.4,379.157908,212.448335,2,4.81514,0.74,5.39,2.67,small-vehicle,no,1,198.4290858
57,8.5,379.459194,212.823944,2,4.88903,-0.1,5.39,2.67,small-vehicle,no,1,198.9105994
57,8.6,379.765136,213.205291,2,4.87904,0.38,5.39,2.67,small-vehicle,no,1,199.3995023
57,8.7,380.070452,213.585859,2,4.91698,-0.04,5.39,2.67,small-vehicle,no,1,199.8874058
57,8.8,380.378143,213.969387,2,4.91267,0.14,5.39,2.67,small-vehicle,no,1,200.3791044
57,8.9,380.685564,214.352578,2,4.92716,-0.01,5.39,2.67,small-vehicle,no,1,200.8703711
57,9,380.993892,214.7369,2,4.92595,0.04,5.39,2.67,small-vehicle,no,1,201.3630876
57,9.1,381.302144,215.121127,2,4.9298,0,5.39,2.67,small-vehicle,no,1,201.8556825
57,9.2,381.610637,215.505654,2,4.92959,0.01,5.39,2.67,small-vehicle,no,1,202.3486621
57,9.3,381.919117,215.890165,2,4.93022,0,5.39,2.67,small-vehicle,no,1,202.8416212
57,9.4,382.227636,216.274726,2,4.93021,0,5.39,2.67,small-vehicle,no,1,203.3346436
57,9.5,382.536155,216.659285,2,4.93026,0,5.39,2.67,small-vehicle,no,1,203.8276645
57,9.6,382.844676,217.043848,2,4.93026,0,5.39,2.67,small-vehicle,no,1,204.3206898
58,7.9,371.955095,204.261464,2,3.41388,-0.13,5.35,2.54,small-vehicle,no,1,186.3611201
58,8,372.208085,204.490684,2,3.40065,0.33,5.35,2.54,small-vehicle,no,1,186.702508
58,8.1,372.451197,204.728466,2,3.43391,-0.06,5.35,2.54,small-vehicle,no,1,187.0425723
58,8.2,372.692546,204.972737,2,3.42752,0.28,5.35,2.54,small-vehicle,no,1,187.3859637
58,8.3,372.934746,205.21526,2,3.45594,0,5.35,2.54,small-vehicle,no,1,187.7287147
58,8.4,373.172548,205.466031,2,3.45625,0.37,5.35,2.54,small-vehicle,no,1,188.0743097
58,8.5,373.425186,205.701892,2,3.49306,0.08,5.35,2.54,small-vehicle,no,1,188.4199343
58,8.6,373.65379,205.966004,2,3.50097,0.61,5.35,2.54,small-vehicle,no,1,188.7692407
58,8.7,373.864611,206.245508,2,3.56224,0.19,5.35,2.54,small-vehicle,no,1,189.1193378
58,8.8,374.092962,206.518915,2,3.58102,0.97,5.35,2.54,small-vehicle,no,1,189.4755618
58,8.9,374.318775,206.796845,2,3.67819,0.27,5.35,2.54,small-vehicle,no,1,189.8336632
58,9,374.536559,207.093259,2,3.70477,1.41,5.35,2.54,small-vehicle,no,1,190.2014826
58,9.1,374.764119,207.385611,2,3.84549,0.19,5.35,2.54,small-vehicle,no,1,190.5719597
58,9.2,374.982215,207.702332,2,3.86493,1.86,5.35,2.54,small-vehicle,no,1,190.9565088
58,9.3,375.214411,208.011302,2,4.05088,-0.01,5.35,2.54,small-vehicle,no,1,191.3430026
58,9.4,375.471084,208.324694,2,4.05034,2.19,5.35,2.54,small-vehicle,no,1,191.7480897
58,9.5,375.725341,208.639981,2,4.26921,-0.14,5.35,2.54,small-vehicle,no,1,192.1531237
58,9.6,375.996275,208.969915,2,4.25543,2.26,5.35,2.54,small-vehicle,no,1,192.5800449
58,9.7,376.22599,209.328129,2,4.48143,-0.11,5.35,2.54,small-vehicle,no,1,193.0055872
58,9.8,376.503406,209.680084,2,4.47042,2.11,5.35,2.54,small-vehicle,no,1,193.45373
58,9.9,376.78771,210.025075,2,4.68162,0.02,5.35,2.54,small-vehicle,no,1,193.9007731
58,10,377.055385,210.409165,2,4.68367,1.8,5.35,2.54,small-vehicle,no,1,194.3689344
58,10.1,377.338619,210.782189,2,4.8634,0.11,5.35,2.54,small-vehicle,no,1,194.8373022
58,10.2,377.634052,211.168512,2,4.87398,1.37,5.35,2.54,small-vehicle,no,1,195.3236417
58,10.3,377.920841,211.562605,2,5.01051,0.1,5.35,2.54,small-vehicle,no,1,195.8110402
58,10.4,378.242053,211.947151,2,5.02041,0.87,5.35,2.54,small-vehicle,no,1,196.3120918
58,10.5,378.553201,212.341145,2,5.10754,0.05,5.35,2.54,small-vehicle,no,1,196.814132
58,10.6,378.854397,212.753638,2,5.11269,0.43,5.35,2.54,small-vehicle,no,1,197.3248859
58,10.7,379.156457,213.166138,2,5.15605,0.02,5.35,2.54,small-vehicle,no,1,197.8361554
58,10.8,379.46107,213.582142,2,5.15779,0.15,5.35,2.54,small-vehicle,no,1,198.3517603
58,10.9,379.765787,213.998286,2,5.17309,0,5.35,2.54,small-vehicle,no,1,198.8675395
58,11,380.071407,214.415664,2,5.1735,0.03,5.35,2.54,small-vehicle,no,1,199.3848479
58,11.1,380.377052,214.833076,2,5.17675,0,5.35,2.54,small-vehicle,no,1,199.9021985
58,11.2,380.682888,215.25075,2,5.17683,0,5.35,2.54,small-vehicle,no,1,200.4198734
58,11.3,380.98873,215.66843,2,5.17703,0,5.35,2.54,small-vehicle,no,1,200.9375566
58,11.4,381.294583,216.086126,2,5.17704,0,5.35,2.54,small-vehicle,no,1,201.4552592
58,11.5,381.600437,216.503824,2,5.17697,0,5.35,2.54,small-vehicle,no,1,201.972964
58,11.6,381.906286,216.921516,2,5.17698,0,5.35,2.54,small-vehicle,no,1,202.4906611
58,11.7,382.212136,217.339208,2,5.17696,0,5.35,2.54,small-vehicle,no,1,203.0083587
58,11.8,382.517985,217.756899,2,5.17696,0,5.35,2.54,small-vehicle,no,1,203.5260549
63,5.6,377.599132,205.729192,3,5.12861,-3.26,5.01,2.54,small-vehicle,no,1,192.5589513
63,5.7,378.000377,206.048612,3,4.80236,-0.22,5.01,2.54,small-vehicle,no,1,193.0718125
63,5.8,378.367553,206.358141,3,4.78002,-2.79,5.01,2.54,small-vehicle,no,1,193.5520483
63,5.9,378.729977,206.669805,3,4.50096,-0.57,5.01,2.54,small-vehicle,no,1,194.03005
63,6,379.08628,206.944821,3,4.44349,-2.28,5.01,2.54,small-vehicle,no,1,194.4801451
63,6.1,379.439573,207.214321,3,4.21546,-0.62,5.01,2.54,small-vehicle,no,1,194.9244943
63,6.2,379.785176,207.455692,3,4.15373,-1.89,5.01,2.54,small-vehicle,no,1,195.3460407
63,6.3,380.123708,207.69638,3,3.96482,-0.37,5.01,2.54,small-vehicle,no,1,195.7614136
63,6.4,380.44289,207.931584,3,3.92742,-1.51,5.01,2.54,small-vehicle,no,1,196.1578957
63,6.5,380.757512,208.166657,3,3.77678,-0.06,5.01,2.54,small-vehicle,no,1,196.5506378
63,6.6,381.049542,208.406155,3,3.77033,-1.03,5.01,2.54,small-vehicle,no,1,196.928316
63,6.7,381.34406,208.641555,3,3.66696,0.11,5.01,2.54,small-vehicle,no,1,197.3053492
63,6.8,381.630755,208.870186,3,3.67823,-0.56,5.01,2.54,small-vehicle,no,1,197.6720454
63,6.9,381.918339,209.09951,3,3.62245,0.13,5.01,2.54,small-vehicle,no,1,198.0398688
